Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Harrison Organic Yard Waste Transfer Station,Route 120 and 55 New King Street,,Purchase,NY,10577,Westchester,3,9148311255,Town and Village of Harrison,Municipal,Transfer facility - registration,[60T106],Yes,607879,4547146,,Yard Waste;Wood (Brush/ Branches/ Trees/ Stumps),Registration,60T106,06/07/2018,06/07/2023,"Route 120 and 55 New King Street
Purchase, NY 10577
(41.087475, -73.717744)"
Huntington Recycling Center and Transfer Station,641 New York Ave,,Huntington,NY,11743,Suffolk,1,6314276377,Town of Huntington,Municipal,RHRF - 5 tpd or less - registration,[52R10249],Yes,632986,4524636,4.3 - Utilization of Digital Orthophoto Quads,Clear Glass;Commingled Containers;Commingled Paper;Electronics;Magazines;Newspaper;Office Paper;Paperboard/Boxboard;Plastic;Container Glass;Propane Tanks,Registration,52T10249,03/12/2019,03/11/2024,"641 New York Ave
Huntington, NY 11743
(40.86179, -73.421944)"
CleanFiber Buffalo; LLC,250 Lake Avenue,,Blasdell,NY,14219,Erie,9,8186168393,CleanFiber Buffalo; LLC,Private,Nonspecific facility - permit,[15XP0027],Yes,186219,4745325,4.2 - Utilization of GIS and existing spatial data,Papermill Sludge,Permit,9-1448-00304/00002,12/26/2018,04/08/2023,"250 Lake Avenue
Blasdell, NY 14219
(42.797721, -78.836612)"
Clarkstown (T) - French Farms Leaf Compost,226 Brewery Rd.,,New City,NY,10956,Rockland,3,8457532200,Town of Clarkstown,,Composting - yard waste - permit,[44Y02],Yes,584941,4555524,,,Permit,3-3920-00108/0004,11/10/2017,11/09/2022,"226 Brewery Rd.
New City, NY 10956
(41.131504, -73.973616)"
Hainsworth Calf Management,6101 Logan Road,,Mt. Morris,NY,14510,Livingston,8,5857343264,Alan Hainsworth,Private,Storage - biosolids/septage/other - permit,[26AP0001],Yes,272049,4734004,,Sludge (Papermill);Non-recognizable Food Processing Waste,Permit,26AP0004,05/15/2018,05/14/2023,
York TS,2825 River Road,,York,NY,14592,Livingston,8,5852433128,Town of York,Municipal,Transfer facility - registration,[26T10010],Yes,266662,4749660,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Leaves & Grass;Commingled Plastics;Corrugated Cardboard;Single Stream,Registration,26T10010,01/03/2020,01/03/2025,"2825 River Road
York, NY 14592
(42.864006, -77.856746)"
Stony Brook University CMM Building P-2 Lab,CMM Building P-2 Lab,Stony Brook University,Stony Brook,NY,11794,Suffolk,1,6316326410,SUNY @ Stony Brook,State,RMW - treatment at the site of generation - registration,[0316],Yes,658275,4529935,4.3 - Utilization of Digital Orthophoto Quads,Regulated Medical Waste,Registration,52J20316,05/21/2020,05/20/2025,
1490 Motors Inc,12253 Old Olean Road; PO Box 65,,Yorkshire,NY,14173,Cattaraugus,9,7164925210,James Fronckowiak,Private,VDF - large - registration,[05V50023],Yes,214782,4714619,1 - No accuracy stated,End of Life Vehicles,Registration,05V50023,11/20/2019,11/20/2024,
Frank & Sons Auto Wrecking II Inc.,132 Hopper Street,,Westbury,NY,11590,Nassau,1,5169975736,Frank & Sons Auto Wrecking II Inc,Private,VDF - large - registration,[30V50125],Yes,621072,4512766,,End of Life Vehicles,None,30V50125,01/22/2020,01/21/2025,"132 Hopper Street
Westbury, NY 11590
(40.757895, -73.566074)"
Busti Transfer Station,3646 Lawson Road,,Jamestown,NY,14701,Chautauqua,9,7166644901,Town of Busti,Municipal,RHRF - 5 tpd or less - registration,[07R10047],Yes,144430,4661859,4.2 - Utilization of GIS and existing spatial data,Plastic;Other Ferrous Scrap Metal;Commingled Paper;Other Non-Ferrous Scrap Metal;Container Glass,Registration,07R10047,02/15/2019,02/15/2024,"3646 Lawson Road
Jamestown, NY 14701
(42.027503, -79.294932)"
Stratford Transfer Station,113 County Route 104 & State Highway 29A,,Stratford,NY,13470,Fulton,5,5187365501,Fulton County,County,Transfer facility - registration,[18T10007],Yes,525395,4780580,,MSW (Residential/Institutional & Commercial);Single Stream;Metals (Ferrous & Non-Ferrous);Electronics,Registration,18T10007,07/02/2018,07/01/2023,
Rich Thaine Repair,12517 Ridge Road,,Medina,NY,14103,Orleans,8,5857981234,Richard Thaine,Private,VDF - small - registration,[37V20005],Yes,230917,4796999,,End of Life Vehicles,Registration,37V20005,01/03/2020,01/03/2025,"12517 Ridge Road
Medina, NY 14103
(43.278898, -78.311922)"
Peter Mosher's Used Parts,44 Pasco Ave,,Queensbury,NY,12804,Warren,5,5187927612,Peter Mosher,Private,VDF - large - registration,[57V50017],Yes,604704,4796351,,Used Oil;Used Tire;Waste Tire;Mercury Switches;Engine Coolant/Antifreeze;Gasoline;Diesel Fuel;Window Washing Fluid;Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Lead Weights,,57V50017,10/07/2019,10/07/2024,"44 Pasco Ave
Queensbury, NY 12804
(43.312121, -73.708636)"
Queensbury - Jenkinsville Rd Mine Site LCD,Jenkinsville Road,,Queensbury,NY,12804,Warren,5,5187618211,Town Of Queensbury,Municipal,Landfill - land clearing debris,[57D16],Yes,611740,4804847,1 - No accuracy stated,Land Clearing Debris,Registration,57D16,,,
Trout Enterprises Inc,2410 Edwards Rd,,Waterloo,NY,13165,Seneca,8,3157895742,Joshua Trout,Private,Mobile vehicle crusher - registration,[50V60012],Yes,343408,4752401,,End of Life Vehicles,Registration,50V60012,08/12/2020,08/12/2025,"2410 Edwards Rd
Waterloo, NY 13165
(42.908335, -76.917952)"
Brookfield Resource at Montrose (nee Kaufman Auto Parts),Box 217 Route 9A,2105 Albany Post Road,Montrose,NY,10548,Westchester,3,9149301626,Brookfield Resource Management,Private,Mobile vehicle crusher - registration,[60V60001],Yes,589860,4566752,,End of Life Vehicles,Registration,60V60001,02/13/2019,02/12/2023,
Soil Products,Pletcher Road,,Lewiston,NY,14092,Niagara,9,,Niagara Properties Inc.,Private,CDDHRF - restricted or limited use fill - registration,[32C70026],Yes,175541,4791796,4 - GIS Assisted,Limited-Use Fill,Registration,32C70026,06/16/2020,06/15/2025,
Orleans LCD,East Line Tanners Rd; County Route 3,,Orleans,NY,13656,Jefferson,6,3156589920,Town of Orleans,Municipal,Landfill - land clearing debris,[23D23],Yes,440015,4884452,,Land Clearing Debris,Registration,23D23,04/05/2000,,
Hanson Aggregates New York LLC - Oaks Corners,2046 Pre-Emption Road,,Oaks Corners,NY,14518,Ontario,8,3157896202,Hanson Aggregates New York LLC,Private,C&D processing - registration,[35W07],Yes,335700,4755200,1 - No accuracy stated,,Registration,35W07,,,"2046 Pre-Emption Road
Oaks Corners, NY 14518
(42.933039, -77.012783)"
International Paper Ticonderoga Mill Landfill,568 Shore Airport Road,,Ticonderoga,NY,12883,Essex,5,5185855300,International Paper Company,Private,Landfill - industrial waste monofill - permit,[16N18],Yes,627916,4860163,,Sludge (Paper mill),Permit,5-1548-00008/00005,03/01/2018,02/29/2028,"568 Shore Airport Road
Ticonderoga, NY 12883
(43.889211, -73.405758)"
SPECIALTY MOTOR CARS,1125 BRONX RIVER AVE,,BRONX,NY,10472,New York,2,7188933333,Specialty Motors International Inc.,,VDF - large - registration,[03V50014],Yes,594141,4520022,4.2 - Utilization of GIS and existing spatial data,End of Life Vehicles,Registration,03V50014,01/31/2020,01/30/2025,"1125 BRONX RIVER AVE
BRONX, NY 10472
(40.825878, -73.883386)"
Greenport TS,51 Newman Road,,Greenport,NY,12534,Columbia,4,5188281442,Columbia County Solid Waste,County,Transfer station - permit,[11T40],Yes,601180,4676735,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Single Stream;Wood (Brush/ Branches/ Trees/ Stumps);White Goods;Electronics,Permit,4-0140-00007/00005,08/01/2015,07/31/2025,"51 Newman Road
Greenport, NY 12534
(42.238947, -73.769675)"
Simon Auto Wreckers Inc,22 Tilly Foster Road,,Brewster,NY,10509,Putnam,3,9142792988,Simon Auto Wreckers Inc,Private,VDF - large - registration,[40V50003],Yes,613301,4585771,,End of Life Vehicles,Registration,40V50003,10/09/2019,10/08/2022,"22 Tilly Foster Road
Brewster, NY 10509
(41.414782, -73.64211)"
Dundee (V) Land Application,929 Dundee Glenora Rd.,,Dundee,NY,14837,Yates,8,6072438121,Village of Dundee,Municipal,Land application - biosolids/septage/other - permit,[62L02],Yes,337554,4709795,4.3 - Utilization of Digital Orthophoto Quads,,Permit,8-5734-00003/00001,08/31/2015,08/30/2020,"929 Dundee Glenora Rd.
Dundee, NY 14837
(42.51684, -76.969952)"
Louie's Auto Parts,364 Tompkins Street,,Cortland,NY,13045,Cortland,7,6075919040,David N. Rosen,Private,VDF - small - registration,[55V20006],Yes,401643,4715595,,End of Life Vehicles,Registration,DMV #7098902,,,"364 Tompkins Street
Cortland, NY 13045
(42.586397, -76.1986)"
Denning TS (T),1444 Denning Rd,,Claryville,NY,12725,Ulster,3,8459852543,Town of Denning,Municipal,Transfer facility - registration,[56T10007],Yes,536579,4641404,,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous),Registration,56T10007,01/22/2019,01/22/2024,"1444 Denning Rd
Claryville, NY 12725
(41.923816, -74.558739)"
CD Man LLC Transfer Station,101 Raft Street,,Albany,NY,12202,Albany,4,5184342747,William Biers,Private,C&D processing - permit,[01W09],Yes,601377,4719133,4.2.1 - Utilization of GIS and Facility Mapping System,,Permit,4-0101-00473/00001,10/31/2014,10/30/2024,"101 Raft Street
Albany, NY 12202
(42.622319, -73.762096)"
Town of Manheim Transfer Station,3656 State Route 167,,Dolgeville,NY,13329,Herkimer,6,3154299631,Town of Manheim,Municipal,Transfer facility - registration,[22T10002],Yes,517478,4771256,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Electronics,Registration,22T10002,10/22/2018,10/21/2023,
Con-Strux LLC (Westbury),702 Grand Boulevard,,Westbury,NY,11590,Nassau,1,5163333133,Michael Posillico,Private,C&D processing - registration,[30W18R],Yes,621972,4511706,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Asphalt;Brick;Soil (Clean);Rock,Registration,30W18R,11/19/1999,,"702 Grand Boulevard
Westbury, NY 11590
(40.756714, -73.575045)"
B&H Rail Transfer Station,417 Victory Highway,,Painted Post,NY,14870,Steuben,8,5853462090,B&H Rail Corporation,Private,Transfer station - permit,[51T05],Yes,323826,4671590,,Construction & Demolition Debris,Permit,8-4642-00151/00001,03/18/2015,03/17/2025,"417 Victory Highway
Painted Post, NY 14870
(42.176074, -77.122482)"
Vincent Mulyca Stump Dump,1817 Gordon Road,,Rotterdam,NY,12306,Schenectady,4,5184240185,Vincent Mulcya,Private,Landfill - land clearing debris,[47D17],Yes,580014,4741495,1 - No accuracy stated,Land Clearing Debris,,47D17,,,"1817 Gordon Road
Rotterdam, NY 12306
(42.821584, -74.024955)"
Lewis County (Croghan) Transfer Station,10319 State Route 812,,Croghan (T),NY,13367,Lewis,6,3153461609,Lewis County Solid Waste,County,Transfer facility - registration,[25T10002],Yes,468811,4864389,1 - No accuracy stated,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Waste Tires;Mattresses,Registration,25T10002,02/04/2019,02/03/2024,
North Castle (T) DPW Leaf TS,21 Bedford Road,,Armonk,NY,10504,Westchester,3,9142733561,Town of North Castle,Municipal,Transfer facility - registration,[60T105],Yes,607988,4553260,,Yard Waste,Registration,60T105,06/07/2018,06/07/2023,"21 Bedford Road
Armonk, NY 10504
(41.124885, -73.712733)"
Blostein Blvd Compost,715 Blostein Blvd,,Horseheads,NY,14845,Chemung,8,6074269270,Village of Horseheads,,Composting - yard trimmings - registration,[08P10002],Yes,348884,4668283,,Yard Waste,Registration,08P10002,01/07/2021,01/07/2026,"715 Blostein Blvd
Horseheads, NY 14845
(42.15337, -76.826883)"
East Hampton Recycling & Disposal Center,260 Springs Fireplace Road,,East Hampton,NY,11937,Suffolk,1,6313247191,Town of East Hampton,Municipal,RHRF - permit,[52RP0255],Yes,737962,4541622,4.3 - Utilization of Digital Orthophoto Quads,Source Separated Recyclables (Metal/Glass/Paper/Plastic);Commingled Containers;Commingled Paper;Paper / Cardboard;Newspaper;Metal (Structural);Electronics;Waste Tires,Permit,1-4724-00127/00007,02/18/2020,02/17/2025,"260 Springs Fireplace Road
East Hampton, NY 11937
(40.987904, -72.172333)"
Supreme Auto Parts & Service; Inc.,1625 Olean-Portville Road,,Olean,NY,14760,Cattaraugus,9,7163720830,Thomas Blicharz,Private,Waste tire storage - Dealer,[05K13],Yes,219186,4663184,4.2 - Utilization of GIS and existing spatial data,Waste Tires,Registration,05K13,12/27/2010,,"1625 Olean-Portville Road
Olean, NY 14760
(42.070929, -78.394086)"
Paumanok Environmental,88 Old Dock Road,,Yaphank,NY,11980,Suffolk,1,6317755900,Paumanok Environmental LLC,Private,Transfer station - permit,[52W151],Yes,673424,4519761,,MSW (Residential/Institutional & Commercial),None,1-4722-05676-00001,09/09/2014,09/08/2019,"88 Old Dock Road
Yaphank, NY 11980
(40.811325, -72.943821)"
Redl's Parkway Auto Parts Inc,2 Sedgewick Road,,Poughkeepsie,NY,12603,Dutchess,3,9144527715,Frank Redl,Private,VDF - large - registration,[14V50005],Yes,598842,4613921,,End of Life Vehicles,Registration,14V50005,02/04/2019,02/03/2023,"2 Sedgewick Road
Poughkeepsie, NY 12603
(41.672026, -73.822825)"
Gershow Recycling of New Hyde Park,24 Denton Avenue,,New Hyde Park,NY,11040,Nassau,1,5167461081,Gershow Recycling Corporation,Private,Scrap metal processor - registration,[0104],Yes,612221,4510587,1 - No accuracy stated,Scrap Metal - Aluminum ;End of Life Vehicles;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,Registration,104,12/15/2018,12/14/2021,"24 Denton Avenue
New Hyde Park, NY 11040
(40.738325, -73.671364)"
Service Scrap Metal Inc,3425 Hampton Road,,Oceanside,NY,11572,Nassau,1,5162855400,Service Scrap Metal Inc,Private,Vehicle Dismantling Facility,[30J14],Yes,613779,4497771,1 - No accuracy stated,,,,,,"3425 Hampton Road
Oceanside, NY 11572
(40.626564, -73.654044)"
Lyme Transfer Station,27990 County Route 57,,Three Mile Bay,NY,13693,Jefferson,6,3156495165,Town of Lyme,Municipal,RHRF - 5 tpd or less - registration,[23R10015],Yes,400775,4880692,4.1 - Address Matching,Plastic;Container Glass;Commingled Paper;Paperboard/Boxboard;Other Non-Ferrous Scrap Metal;Other Aluminum Scrap Metal;Other Ferrous Scrap Metal;Electronics;Enameled Appliances / White Goods,Registration,23R10015,11/21/2019,11/20/2024,"27990 County Route 57
Three Mile Bay, NY 13693
(44.073083, -76.238972)"
Leach's Custom Trash Service Transfer Station,1834 State Route 13 N,,Cortland,NY,13045,Cortland,7,6077537412,Leach's Custom Trash Service,Private,Transfer facility - permit,[12TP0003],Yes,405355,4719939,,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Electronics,Permit,7-1122-00134/00001,10/01/2018,09/30/2028,"1834 State Route 13 N
Cortland, NY 13045
(42.625344, -76.154802)"
Nu Waste LLC,50 Ransier Drive,,West Seneca,NY,14224,Erie,9,7166740019,Nu Waste LLC,Private,Transfer facility - permit,[15TP0011],Yes,193780,4750594,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;Other - Non-putrescible MSW,Permit,9-1468-00244/00001,02/20/2019,02/20/2024,"50 Ransier Drive
West Seneca, NY 14224
(42.84664, -78.746735)"
Action Trucking Company,3010 Burns Ave,,Wantagh,NY,11793,Nassau,1,5167813000,Ralph Pantony,Private,Transfer station - permit,[30T11],Yes,625119,4503392,,Water (Waste);Sludge (Industrial),Permit,1-2820-01378/00003,06/05/2018,12/11/2022,"3010 Burns Ave
Wantagh, NY 11793
(40.672536, -73.51995)"
Modern Landfill; Inc.,1445 Pletcher Road,,Model City,NY,14107,Niagara,9,7167548226,Modern Corporation,Private,C&D processing - permit,[32W10],Yes,176826,4792068,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris,Permit,9-2924-00016/00043,10/29/2013,10/28/2023,"1445 Pletcher Road
Model City, NY 14107
(43.211376, -78.979848)"
James Herman Property,Liberty St.,,Warsaw,NY,14569,Wyoming,9,5857862571,Wyco Construction Inc.,Private,Land application - septage - registration,[61A40005],Yes,238508,4735412,4.2.1 - Utilization of GIS and Facility Mapping System,Septage,Registration,61A40005,08/22/2018,08/22/2023,
A-Plus Auto Salvage Inc,640 West Hoffman Avenue,,Lindenhurst,NY,11757,Suffolk,1,6312260580,A-Plus Auto Salvage Inc,Private,VDF - large - registration,[52V50294],Yes,636396,4504865,1 - No accuracy stated,End of Life Vehicles,,52V50294,01/22/2020,01/21/2025,"640 West Hoffman Avenue
Lindenhurst, NY 11757
(40.682968, -73.38751)"
Gardiner TS       (T),139 Steves Lane,,Gardiner,NY,12525,Ulster,3,9142559675,Town of Gardiner,Municipal,Transfer station - registration,[56R03],Yes,570340,4616194,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Glass;Commingled Plastics;Commingled Paper & Containers;Corrugated Cardboard,Registration,56R03,,,"139 Steves Lane
Gardiner, NY 12525
(41.695424, -74.156021)"
Ungermann-Spring Valley Mine,Spring Valley Road,,Cuba,NY,14727,Allegany,9,5859681790,Norman G. Ungermann Jr.,Private,CDDHRF - asphalt pavement and millings - registration,[02C20021],Yes,231614,4683076,4.2 - Utilization of GIS and existing spatial data,Asphalt Millings;Asphalt Pavement,Registration,02C20021,06/03/2020,06/03/2025,
Sheldon Oil Services,1005 Route 9,,Castleton,NY,12033,Rensselaer,4,5187662864,Guy Sheldon,Private,Waste oil storage; reprocessing or rerefining facility,[42O44],Yes,609000,4706000,1.1 - Obtained from original submission and unverified process,,Permit,4-3844-00047/00002,08/06/2014,08/08/2019,"1005 Route 9
Castleton, NY 12033
(42.498911, -73.673334)"
Lockport Compost,611 West Jackson Street,,Lockport,NY,14095,Niagara,9,7164331613,City of Lockport,Municipal,Composting - biosolids/other - permit,[32PP0013],Yes,199755,4787950,4 - GIS Assisted,Biosolids,Permit,9-2909-00059/00003,01/15/2019,01/13/2029,"611 West Jackson Street
Lockport, NY 14095
(43.184642, -78.709652)"
Seward Sand and Gravel Composting,532 County Highway 58,,Oneonta,NY,13820,Otsego,4,6074321653,Seward Sand and Gravel; Inc.,,Composting - yard trimmings - registration,[39P14001],Yes,501633,4702798,,,Registration,39P14001,02/11/2019,02/11/2024,"532 County Highway 58
Oneonta, NY 13820
(42.471175, -74.982623)"
Bethel TS,608 Old White Lake Turnpike,,White Lake,NY,12783,Sullivan,3,8452924505,Town of Bethel,Municipal,Transfer facility - registration,[53T101],Yes,517113,4618207,,Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Commingled Plastics,Registration,53T101,05/07/2018,05/07/2023,"608 Old White Lake Turnpike
White Lake, NY 12783
(41.715075, -74.793273)"
Power Recycling,4715 Route 30,,Amsterdam,NY,12010,Montgomery,4,5188433100,Power Pallet; Inc.,Private,RHRF - greater than 5 tpd - registration,[29R22001],Yes,566373,4759002,,Commingled Paper;Electronics;Plastic;Container Glass,Registration,29R22001,07/19/2019,07/19/2024,"4715 Route 30
Amsterdam, NY 12010
(42.980359, -74.188649)"
Niagara Metals LLC - Royalton,8729 Rochester Road,,Gasport,NY,14067,Niagara,9,7167727702,Niagara Metals LLC,Private,Scrap metal processor - registration,[32V30018],Yes,211940,4789213,1 - No accuracy stated,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous ;Stainless Steel,Registration,32V30018,09/03/2019,09/03/2024,"8729 Rochester Road
Gasport, NY 14067
(43.200963, -78.543063)"
Greiner Auto Parts,681 State Route 8,,Cold Brook,NY,13324,Herkimer,6,3158263707,Daniel Greiner,Private,VDF - large - registration,[22V50010],Yes,497499,4788635,,End of Life Vehicles,,22V50010,02/04/2020,02/03/2025,"681 State Route 8
Cold Brook, NY 13324
(43.251311, -75.02978)"
Tri-City Recycling,201 Edison Avenue,,Schenectady,NY,12305,Schenectady,4,5183463445,Nathan D. Kelman,Private,RHRF - registration,[47M07],Yes,585288,4740454,4.2.1 - Utilization of GIS and Facility Mapping System,,Registration,,,,"201 Edison Avenue
Schenectady, NY 12305
(42.808528, -73.949112)"
ECO Tech Management,935 LINCOLN AVE,,Holbrook,NY,11741,Suffolk,1,6314724848,Eco Management,,RHRF - exempt (non-VDF),[52M00],Yes,661829,4515785,,,,,,,"935 LINCOLN AVE
Holbrook, NY 11741
(40.774945, -73.083545)"
Fat City Auto Wreckers Inc,100 West 11 Street,,Huntington,NY,11746,Suffolk,1,6316732966,George Valentino,Private,Vehicle Dismantling Facility,[52J26],Yes,632889,4522454,,,,,,,"100 West 11 Street
Huntington, NY 11746
(40.842574, -73.423494)"
Oneida-Herkimer Western Transfer Station,575 Perimeter Road,,Rome (C),NY,13440,Oneida,6,3153390288,Oneida Herkimer SWMA,Municipal,Waste oil storage; reprocessing or rerefining facility,[33O02],Yes,469000,4783400,4.3 - Utilization of Digital Orthophoto Quads,,Permit,6-3013-00029/00012,06/20/2017,08/31/2022,
Hiram Hollow Regeneration Corp,100 Washburn Road,,Gansevoort,NY,12831,Saratoga,5,5187931098,Casella Waste Management Inc,Private,RHRF - permit,[46RP0014],Yes,605569,4784796,,Concrete,Permit,5-4156-00046/00002,03/12/2019,03/11/2029,"100 Washburn Road
Gansevoort, NY 12831
(43.200988, -73.701643)"
Willow Creek Farm,5701 Upper Mountain Rd,,Lockport,NY,14094,Niagara,9,7168637089,Mel Hedges,Private,C&D processing - permit,[32W20],Yes,197072,4786260,4.2 - Utilization of GIS and existing spatial data,Wood (Adulterated);Wood (Unadulterated Pallets);Wood (Unadulterated),Permit,9-2926-00190/00001,02/01/2018,01/31/2023,"5701 Upper Mountain Rd
Lockport, NY 14094
(43.16791, -78.728179)"
Machias Transfer Station,8630 Route 16,,Machias,NY,14101,Cattaraugus,9,7166763730,Cattaraugus County DPW,County,Transfer facility - registration,[05T10013],Yes,214448,4697400,,MSW (Residential/Institutional & Commercial);Commingled Plastics;Corrugated Cardboard;Electronics,Registration,05T10013,01/03/2019,01/03/2024,"8630 Route 16
Machias, NY 14101
(42.37666, -78.468521)"
Con-strux LLC ( Lindenhurst),690 Muncy Street,,Lindenhurst,NY,11757,Suffolk,1,5163333133,Sandy Nicolia,Private,C&D processing - registration,[52W138R],Yes,639836,4506215,4.3 - Utilization of Digital Orthophoto Quads,Brick;Rock;Concrete;Asphalt;Soil (Clean),Registration,52W138R,09/02/2008,,"690 Muncy Street
Lindenhurst, NY 11757
(40.69764, -73.352954)"
G Frederico Wrecking Co LLC,62 Bickford Street,,Rochester,NY,14615,Monroe,8,,G. Frederico Wrecking Co LLC,Private,CDDHRF - asphalt pavement and millings - registration,[28C20017],Yes,283180,4782910,4.2 - Utilization of GIS and existing spatial data,Asphalt,Registration,28C20017,05/31/2019,05/30/2024,"62 Bickford Street
Rochester, NY 14615
(43.167398, -77.667351)"
Northport (V) Highway Department Staging Area,1 Ketcham Place,Clipper Drive on 2013 AR,Northport,NY,11768,Suffolk,1,6312617502,Incorporated Village of Northport,Municipal,C&D processing - registration,[52R30R],Yes,639443,4530898,4.3 - Utilization of Digital Orthophoto Quads,Street Sweepings;Wood (Chips),Registration,52R30R,,,"1 Ketcham Place
Northport, NY 11768
(40.803524, -73.412592)"
Clear Flo Technologies Inc,1110 A Route 109,,Lindenhurst,NY,11757,Suffolk,1,6319567600,Steve Macchio,Private,Transfer station - permit,[52TP0273],Yes,635306,4508540,,Water (Waste);Grease Trap Waste;Landfill Leachate;Biosolids,Permit,1-4720-02934/00001,11/18/2016,11/17/2021,"1110 A Route 109
Lindenhurst, NY 11757
(40.716735, -73.39812)"
Parmenter Inc,103 Railroad Street,,Odessa,NY,14869,Schuyler,8,6075947106,Ron Parmenter,Private,WTHRF - retreader - registration,[49W30008],Yes,352662,4688777,,Tire,Registration,49W30008,09/17/2019,09/17/2024,"103 Railroad Street
Odessa, NY 14869
(42.338943, -76.789646)"
Westfield Transfer Station,12 Bourne Street,,Westfield,NY,14787,Chautauqua,9,8002273552,Casella Waste Management NY Inc,Private,RHRF - 5 tpd or less - registration,[07R10051],Yes,122323,4696533,4.2 - Utilization of GIS and existing spatial data,Single Stream,Registration,07R10051,09/17/2019,09/17/2024,"12 Bourne Street
Westfield, NY 14787
(42.329769, -79.583532)"
Boonville Hot Mix Ashpalt Facility,2006 State Route 12,,Boonville,NY,13309,Lewis,6,3159424260,Barrett Paving Materials Inc,Private,C&D processing - registration,[25W01],Yes,473837,4819364,3.6 - Unknown type,Asphalt;Asphalt Millings,Registration,,,,"2006 State Route 12
Boonville, NY 13309
(43.521735, -75.325682)"
Peckham Materials Corp - Chestertown,5983 Route 9,,Chestertown,NY,12817,Warren,5,5184942313,Peckham Materials Corp.,Private,C&D processing - registration,[57W04],Yes,591358,4835887,1 - No accuracy stated,Soil (Clean);Asphalt;Rock;Brick;Concrete,Registration,57W04,02/12/2009,,
Village of Marcellus Composting Facility,6 Mile High Drive,(near 1 Mustang Hill Rd),Marcellus,NY,13108,Onondaga,7,3156734491,Village of Marcellus,Municipal,Composting - biosolids/other - permit,[34PP0072],Yes,390636,4759792,4.2 - Utilization of GIS and existing spatial data,,Permit,7-3140-00005/00003,07/26/2016,07/25/2021,
City of Rome Department of Public Works,132 Race Street,,Rome (C),NY,13440,Oneida,6,3153397774,City of Rome Department of Public Works,Municipal,RHRF - 5 tpd or less - registration,[33R10012],Yes,0,0,1 - No accuracy stated,Wood (Brush/ Branches/ Trees/ Stumps),Registration,33R10012,09/18/2019,09/17/2024,"132 Race Street
Rome (C), NY 13440
(43.204488, -75.450305)"
Nick Restivo Farms,476 Christy Road,,Hanover,NY,14081,Chautauqua,9,7169345340,Lake Shore Septic Services Inc.,,Land application - septage - registration,[07A40029],Yes,163310,4717072,1 - No accuracy stated,Septage,Registration,07A40029,08/31/2018,08/31/2023,"476 Christy Road
Hanover, NY 14081
(42.530606, -79.100226)"
Generate Niagara Digester; LLC,2175 Liberty Drive,,Wheatfield,NY,14304,Niagara,9,7169704746,Generate Capital Inc.,,Anaerobic digestion - permit,[32Z06],Yes,179826,4776644,4.2 - Utilization of GIS and existing spatial data,,Permit,9-2940-00191/00001,04/05/2018,04/04/2023,"2175 Liberty Drive
Wheatfield, NY 14304
(43.073728, -78.932997)"
Schroon Transfer Station,Alder Meadow Road,,Schroon,NY,12870,Essex,5,5185327737,Essex County,County,Transfer station - registration,[16R31],Yes,601031,4857023,,MSW (Residential/Institutional & Commercial),Registration,16R31,,,
Five Points Transfer Station,6909 Toad Hollow Road,,Mansfield,NY,14755,Cattaraugus,9,7169386450,Cattaraugus County DPW,County,Transfer facility - registration,[05T10012],Yes,186944,4690251,,Commingled Plastics;Electronics;MSW (Residential/Institutional & Commercial);Corrugated Cardboard,Registration,05T10012,01/03/2019,01/03/2024,"6909 Toad Hollow Road
Mansfield, NY 14755
(42.301071, -78.798399)"
Stewart's Auto Works,403 Triangle Road,,Hammond,NY,13646,St. Lawrence,6,3153246234,Russell Stewart,Private,Motor vehicle repair shop - large - registration,[45V40001],Yes,442980,4918808,1 - No accuracy stated,Scrap Metal - Aluminum ;Mix Coolant/Engine Oil/Washing Fluid/Water;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,Registration,45V40001,04/05/2019,04/04/2024,"403 Triangle Road
Hammond, NY 13646
(44.43357, -75.746731)"
